Time,FCC.TIC1303.PV.csv,FCC.PI1301.PV.csv,FCC.FIC1311.PV.csv,FCC.TIC1402.PV.csv,FCC.TIC1402-1.PV.csv,FCC.FI1400.PV.csv,FCC.FIC1402-1.PV.csv,FCC.FVC1402.PV.csv,FCC.TI1419.PV.csv,FCC.LIC1404.PV.csv,FCC.TI1418.PV.csv,FCC.PDI1414.PV.csv,wdqy
2021/4/14 17:00,129.4873,0.1910918,0,167.4754,167.3753,0,82.09366,82.10696,161.6464,44.34102,161.5461,0,200.5
2021/4/15 7:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/4/15 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/4/16 7:00,127.7603,0.1913541,0,166.6671,166.6743,0.3293586,81.76521,81.91567,160.9449,45.41451,160.7444,0,198.5
2021/4/16 17:00,128.099,0.1911097,0,168.1835,168.205,0,82.10212,82.01377,162.2477,47.56887,0,110.1663,199
2021/4/17 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/4/17 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/4/18 7:00,128.978,0.1909786,0,168.5626,168.4482,0.3293586,82.02946,81.8931,161.947,47.49222,162.3228,110.1663,198
2021/4/18 17:00,128.4542,0.1907998,0,167.8473,167.8044,0,81.92387,81.96135,161.7215,47.12121,0,110.1615,198.5
2021/4/19 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/4/19 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/4/20 7:00,128.5613,0.1908832,0,167.5827,167.5755,0.3293586,83.0003,83.2328,161.7716,45.69478,161.3958,110.1615,199
2021/4/20 17:00,129.8896,0.1908951,0,168.3409,168.4482,0,82.0046,82.0978,0,46.98475,162.1475,0,201.5
2021/4/21 7:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/4/21 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/4/22 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/4/22 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200.5
2021/4/23 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/4/23 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/4/24 7:00,0,0,0,0,0,0,0,0,0,0,0,0,201.5
2021/4/24 17:00,0,0,0,0,0,0,0,0,0,0,0,0,201
2021/4/25 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/4/25 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/4/26 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/4/26 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/4/27 7:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/4/27 17:00,0,0,0,0,0,0,0,0,0,0,0,0,201
2021/4/28 7:00,0,0,0,0,0,0,0,0,0,0,0,0,200.5
2021/4/28 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200
2021/4/29 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/4/29 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/4/30 7:00,0,0,0,0,0,0,0,0,0,0,0,0,201
2021/4/30 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/5/1 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/5/1 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/5/2 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/5/2 17:00,0,0,0,0,0,0,0,0,0,0,0,0,201
2021/5/3 7:00,0,0,0,0,0,0,0,0,0,0,0,0,202
2021/5/3 17:00,0,0,0,0,0,0,0,0,0,0,0,0,201
